scientific_name,ott_name,closest_relative
Lithobates septentrionalis,Lithobates septentrionalis,Mus musculus
Lithobates clamitans,Lithobates clamitans,Mus musculus
Aquarana catesbeiana,Aquarana catesbeiana,Mus musculus
Clethrionomys rutilus,Clethrionomys rutilus,Mus musculus
Mergus octosetaceus,Mergus octosetaceus,Chauna torquata
Fundulus diaphanus,Fundulus diaphanus,Poecilia reticulata
Microtus pennsylvanicus,Microtus pennsylvanicus,Mus musculus
Rhynchonycteris naso,Rhynchonycteris naso,Rousettus aegyptiacus
Molossus alvarezi,Molossus alvarezi,Rousettus aegyptiacus
Molossus nigricans,Molossus rufus,Rousettus aegyptiacus
Artibeus lituratus,Artibeus lituratus,Rousettus aegyptiacus
Artibeus intermedius,Artibeus intermedius,Rousettus aegyptiacus
Patagioenas fasciata,Patagioenas fasciata,Saxicola maurus
Lophius americanus,Lophius americanus,Larimichthys crocea
Anolis sagrei,Anolis sagrei,Pogona vitticeps
Lathamus discolor,Lathamus discolor,Ara glaucogularis
Rhinophrynus dorsalis,Rhinophrynus dorsalis,Mus musculus
Microcebus murinus,Microcebus murinus,Microcebus murinus
Brosme brosme,Brosme brosme,Amphiprion ocellaris
Cyprinella venusta,Cyprinella venusta,Cyprinus carpio
Sarcoramphus papa,Sarcoramphus papa,Gyps fulvus
Sorex ornatus,Sorex ornatus,Cervus nippon
Osmerus mordax,Osmerus mordax mordax,Salmo salar
Glossophaga mutica,Glossophaga soricina,Rousettus aegyptiacus
Amazona ochrocephala,Amazona ochrocephala ochrocephala,Ara glaucogularis
Aegotheles albertisi,Aegotheles albertisi albertisi,Saxicola maurus
Anaxyrus boreas,Anaxyrus boreas,Mus musculus
Foetorepus agassizii,Foetorepus agassizii,Syngnathus scovelli
Liparis gibbus,Liparis gibbus,Pungitius pungitius
Cryptacanthodes maculatus,Cryptacanthodes maculatus,Pungitius pungitius
Eumicrotremus spinosus,Eumicrotremus spinosus,Pungitius pungitius
Polymixia lowei,Polymixia lowei,Amphiprion ocellaris
Ascaphus truei,Ascaphus truei,Mus musculus
Lepisosteus oculatus,Lepisosteus oculatus,Cyprinus carpio
Chaetodon trifascialis,Chaetodon trifascialis,Larimichthys crocea
Excalfactoria chinensis,Excalfactoria chinensis,Coturnix japonica
Pseudorca crassidens,Pseudorca crassidens,Tursiops truncatus
Capra hircus,Capra hircus,Capra hircus
Lepus timidus,Lepus timidus,Mus musculus
Symphurus diomedeanus,Symphurus diomedeanus,Cynoglossus semilaevis
Struthio camelus,Struthio camelus,Rhea pennata
Engystomops pustulosus,Engystomops pustulosus,Mus musculus
