scientific_name,ott_name,closest_relative
Melanostigma gelatinosum,Melanostigma gelatinosum,Pungitius pungitius
Gymnoscopelus braueri,Gymnoscopelus braueri,Amphiprion ocellaris
Vipera ursinii,Vipera ursinii,Thamnophis sirtalis
Anaecypris hispanica,Anaecypris hispanica,Cyprinus carpio
Nesoenas mayeri,Nesoenas mayeri,Saxicola maurus
Chionomys nivalis,Chionomys nivalis,Mus musculus
Alburnus alburnus,Alburnus alburnus,Cyprinus carpio
Barbus barbus,Barbus barbus,Cyprinus carpio
Sylvilagus floridanus,Sylvilagus floridanus,Mus musculus
Pleuronectes platessa,Pleuronectes platessa,Paralichthys olivaceus
Gobius niger,Gobius niger,Amphiprion ocellaris
Hyperoplus immaculatus,Hyperoplus immaculatus,Larimichthys crocea
Syngnathus acus,Syngnathus acus,Syngnathus scovelli
Eptesicus nilssonii,Eptesicus nilssonii,Rousettus aegyptiacus
Osmerus eperlanus,Osmerus eperlanus,Salmo salar
Parambassis ranga,Parambassis ranga,Amphiprion ocellaris
Erithacus rubecula,Erithacus rubecula,Saxicola maurus
Scleropages formosus,Scleropages formosus,Cyprinus carpio
Myripristis murdjan,Myripristis murdjan,Amphiprion ocellaris
Sphaeramia orbicularis,Sphaeramia orbicularis,Amphiprion ocellaris
Salarias fasciatus,Salarias fasciatus,Amphiprion ocellaris
Echeneis naucrates,Echeneis naucrates,Paralichthys olivaceus
Chanos chanos,Chanos chanos,Cyprinus carpio
Acipenser ruthenus,Acipenser ruthenus,Cyprinus carpio
Gadus morhua,Gadus morhua,Amphiprion ocellaris
Rana temporaria,Rana temporaria,Mus musculus
Bufo bufo,Bufo bufo,Mus musculus
Pholis gunnellus,Pholis gunnellus,Pungitius pungitius
Lipophrys pholis,Lipophrys pholis,Amphiprion ocellaris
Taurulus bubalis,Taurulus bubalis,Pungitius pungitius
Cervus elaphus,Cervus elaphus,Cervus nippon
Caprimulgus europaeus,Caprimulgus europaeus,Saxicola maurus
Trachurus trachurus,Trachurus trachurus,Paralichthys olivaceus
Meles meles,Meles meles,Neogale vison
Apodemus sylvaticus,Apodemus sylvaticus,Mus musculus
Meleagris gallopavo,Meleagris gallopavo,Gallus gallus domesticus
Phalacrocorax carbo,Phalacrocorax carbo,Pelecanus crispus
Accipiter gentilis,Accipiter gentilis,Gyps fulvus
Telmatherina bonti,Telmatherina bonti,Poecilia reticulata
Thunnus maccoyii,Thunnus maccoyii,Syngnathus scovelli
Thunnus albacares,Thunnus albacares,Syngnathus scovelli
Nansenia antarctica,Nansenia antarctica,Salmo salar
Notolepis coatsorum,Notolepis coatsorum,Amphiprion ocellaris
Electrona antarctica,Electrona antarctica,Amphiprion ocellaris
Borostomias antarcticus,Borostomias antarcticus,Salmo salar
Orcinus orca,Orcinus orca,Orcinus orca
Fringilla coelebs,Fringilla coelebs,Taeniopygia guttata
Tetrao urogallus,Tetrao urogallus,Gallus gallus domesticus
Cinclus cinclus,Cinclus cinclus,Saxicola maurus
Myotis daubentonii,Myotis daubentonii,Rousettus aegyptiacus
Pipistrellus pygmaeus,Pipistrellus pygmaeus,Rousettus aegyptiacus
Pipistrellus pipistrellus,Pipistrellus pipistrellus,Rousettus aegyptiacus
Sciurus carolinensis,Sciurus carolinensis,Mus musculus
Scyliorhinus canicula,Scyliorhinus canicula,Mus musculus
Streptopelia turtur,Streptopelia turtur,Saxicola maurus
Arvicola amphibius,Arvicola amphibius,Mus musculus
Calypte anna,Calypte anna,Saxicola maurus
Taeniopygia guttata,Taeniopygia guttata,Taeniopygia guttata
Homo sapiens,Homo sapiens,Homo sapiens
Gopherus evgoodei,Gopherus evgoodei,Saxicola maurus
Gorilla gorilla gorilla,Gorilla gorilla gorilla,Homo sapiens
Arctocephalus gazella,Arctocephalus gazella,Arctocephalus gazella
Ornithorhynchus anatinus,Ornithorhynchus anatinus,Ornithorhynchus anatinus
Rhinolophus ferrumequinum,Rhinolophus ferrumequinum,Rousettus aegyptiacus
Archocentrus centrarchus,Archocentrus centrarchus,Poecilia reticulata
Phyllostomus discolor,Phyllostomus discolor,Rousettus aegyptiacus
Pongo abelii,Pongo abelii,Pongo abelii
Pongo pygmaeus,Pongo pygmaeus,Pongo abelii
Bubalus bubalis,Bubalus bubalis,Bos taurus
Balaenoptera musculus,Balaenoptera musculus,Tursiops truncatus
Alca torda,Alca torda,Larus marinus
Tursiops truncatus,Tursiops truncatus,Tursiops truncatus
Zalophus californianus,Zalophus californianus,Arctocephalus gazella
Corvus moneduloides,Corvus moneduloides,Saxicola maurus
Callithrix jacchus,Callithrix jacchus,Callithrix jacchus
Sterna hirundo,Sterna hirundo,Larus marinus
Sylvia atricapilla,Sylvia atricapilla,Cyanistes caeruleus
Arvicanthis niloticus,Arvicanthis niloticus,Mus musculus
Choloepus didactylus,Choloepus didactylus,Procavia capensis
Tamandua tetradactyla,Tamandua tetradactyla,Procavia capensis
Chelonia mydas,Chelonia mydas,Saxicola maurus
Bucorvus abyssinicus,Bucorvus abyssinicus,Bubo scandiacus
Cariama cristata,Cariama cristata,Saxicola maurus
Phoenicopterus ruber ruber,Phoenicopterus ruber ruber,Phoenicopterus roseus
Balearica regulorum gibbericeps,Balearica regulorum gibbericeps,Saxicola maurus
Catharus ustulatus,Catharus ustulatus,Turdus merula
Sylvia borin,Sylvia borin,Cyanistes caeruleus
Chiroxiphia lanceolata,Chiroxiphia lanceolata,Saxicola maurus
Merops nubicus,Merops nubicus,Bubo scandiacus
Tauraco erythrolophus,Tauraco erythrolophus,Saxicola maurus
Lemur catta,Lemur catta,Microcebus murinus
Aythya fuligula,Aythya fuligula,Chauna torquata
Cygnus olor,Cygnus olor,Chauna torquata
Nyctibius grandis,Nyctibius grandis,Saxicola maurus
Melopsittacus undulatus,Melopsittacus undulatus,Ara glaucogularis
Notolabrus celidotus,Notolabrus celidotus,Larimichthys crocea
Pterocles gutturalis,Pterocles gutturalis,Saxicola maurus
Scatophagus argus,Scatophagus argus,Larimichthys crocea
Melanotaenia boesemani,Melanotaenia boesemani,Poecilia reticulata
Megalops cyprinoides,Megalops cyprinoides,Cyprinus carpio
Chelmon rostratus,Chelmon rostratus,Larimichthys crocea
Aplochiton taeniatus,Aplochiton taeniatus,Salmo salar
Xenentodon cancila,Xenentodon cancila,Poecilia reticulata
Electrophorus electricus,Electrophorus electricus,Cyprinus carpio
Antennarius maculatus,Antennarius maculatus,Larimichthys crocea
Anguilla anguilla,Anguilla anguilla,Cyprinus carpio
Dryobates pubescens,Dryobates pubescens,Bubo scandiacus
Thamnophis elegans,Thamnophis elegans,Thamnophis sirtalis
Periophthalmus magnuspinnatus,Periophthalmus magnuspinnatus,Amphiprion ocellaris
Hippoglossus hippoglossus,Hippoglossus hippoglossus,Paralichthys olivaceus
Cyclopterus lumpus,Cyclopterus lumpus,Pungitius pungitius
Sebastes umbrosus,Sebastes umbrosus,Pungitius pungitius
Pristis pectinata,Pristis pectinata,Mus musculus
Petromyzon marinus,Petromyzon marinus,Mus musculus
Trichosurus vulpecula,Trichosurus vulpecula,Sarcophilus harrisii
Cuculus canorus,Cuculus canorus,Saxicola maurus
Lacerta agilis,Lacerta agilis,Thamnophis sirtalis
Geothlypis trichas,Geothlypis trichas,Taeniopygia guttata
Tachyglossus aculeatus,Tachyglossus aculeatus,Ornithorhynchus anatinus
Pan paniscus,Pan paniscus,Pan troglodytes
Mastacembelus armatus,Mastacembelus armatus,Betta splendens
Poecilia formosa,Poecilia formosa,Poecilia reticulata
Hirundo rustica,Hirundo rustica,Cyanistes caeruleus
Pogoniulus pusillus,Pogoniulus pusillus,Bubo scandiacus
Gallus gallus,Gallus gallus,Coturnix japonica
Motacilla alba alba,Motacilla alba alba,Taeniopygia guttata
Acanthisitta chloris,Acanthisitta chloris,Saxicola maurus
Falco naumanni,Falco naumanni,Saxicola maurus
Ciconia maguari,Ciconia maguari,Pelecanus crispus
Pluvialis apricaria,Pluvialis apricaria,Larus marinus
Toxotes jaculatrix,Toxotes jaculatrix,Paralichthys olivaceus
Ovis aries,Ovis aries,Capra hircus
Dromiciops gliroides,Dromiciops gliroides,Sarcophilus harrisii
Alosa sapidissima,Alosa sapidissima,Clupea harengus
Jaculus jaculus,Jaculus jaculus,Mus musculus
Actinemys marmorata,Actinemys marmorata,Saxicola maurus
Rutilus rutilus,Rutilus rutilus,Cyprinus carpio
Leuciscus idus,Leuciscus idus,Cyprinus carpio
Diceros bicornis minor,Diceros bicornis minor,Ceratotherium simum simum
Scomber colias,Scomber colias,Amphiprion ocellaris
Trogon surrucura,Trogon surrucura,Bubo scandiacus
Theristicus caerulescens,Theristicus caerulescens,Platalea ajaja
Hemiscyllium ocellatum,Hemiscyllium ocellatum,Mus musculus
Porphyrio hochstetteri,Porphyrio hochstetteri,Saxicola maurus
Hemiprocne comata,Hemiprocne comata,Saxicola maurus
Tautogolabrus adspersus,Tautogolabrus adspersus,Larimichthys crocea
Apus apus,Apus apus,Saxicola maurus
Melospiza georgiana,Melospiza georgiana,Taeniopygia guttata
Carassius gibelio,Carassius gibelio,Cyprinus carpio
Panthera pardus,Panthera pardus,Panthera pardus
Lynx rufus,Lynx rufus,Felis catus
Phaethornis superciliosus,Phaethornis superciliosus,Saxicola maurus
Bos indicus,Bos indicus,Bos taurus
